timestamp,prediction,TemperaturareattoreR4001,TemperaturareattoreR4002,TemperaturareattoreR4003,S4304,caricocloruroferricostandard,S904C,S904B,S904A,caricocloruroferricopotabile,S904E,S904D,QuantitaNaOHperBatchNaClO_2,QuantitaNaOHperBatchNaClO,ConversioneNaOH,ConversioneKOHlinea1,KOHrampa1caricoprodotti,KOHrampa2caricoprodotti,S487,S484,S5104,caricoiposodio,S857,S856,S851,S852,S854,S871,RedoxFeCl3Pot,diff_S4304,diff_S904C,diff_S904B,diff_S904A,diff_S904E,diff_S904D,diff_S487,diff_S484,diff_S5104,diff_S857,diff_S856,diff_S851,diff_S852,diff_S854,diff_S871
2020-05-20 12:00:00,1,-0.0034594387644324093,-0.001945445384531684,0.000997796613113142,0.033834488991422676,0.006519116320760673,0.013563025528051744,-0.003960186471634571,0.02705582746152507,-0.008740915601277962,-0.02609719875568915,0.0060645701321408955,0.010833322711068015,3.6168541050646414e-05,-0.01799320905045354,0.005955393443033728,-0.007148997995748401,0.022906818358939592,-0.003380397091179744,0.007164629797844286,0.0024412961977674733,-0.070637945999758,0.0035934811773754016,-0.010238929355122857,-0.01097790624745316,-0.01818886382627167,-0.03191884755859163,-0.001016521769297139,0.16969629162974487,-0.019279394359087636,0.021306010890818627,0.0019639231965959893,0.037572866394504106,0.03845163921619824,-9.560178831801858e-05,0.009683215408611782,-0.00558893363811445,-0.021048817533853296,-0.013380880220053362,0.0016935248029874917,-0.013293664141603411,0.0029759606060483557,-0.0014417929835495512,0.009454517098424799
2020-05-20 12:05:00,1,-0.003343220715346991,-0.0018810403603326672,0.0009745798126359398,0.032788569600493596,0.006174837362509251,0.013100305129943628,-0.0038394526926957447,0.025905521981119548,-0.008604482090607686,-0.025197599561666204,0.005844390881734827,0.010399685283552913,7.835579556033074e-05,-0.01740159668056666,0.005680448716440428,-0.008536921827126977,0.022880656006764272,-0.003407929755270579,0.006885977717796648,0.002355103467792428,-0.06531236155503295,0.0035155737069745034,-0.010267578191094485,-0.01022990212353639,-0.017356326013365776,-0.030832370771210253,-0.0009911615943971142,0.16353425124626633,-0.01879323677667387,0.020642699771712708,0.0018018153146911907,0.03681186065703966,0.03720281259060975,-8.62153058766244e-05,0.009538377285646818,-0.005390322292018516,-0.02002872268782538,-0.012792173297831447,0.0016392808977306428,-0.0131497647598211,0.00286787442128295,-0.0014200315254283553,0.009152078478662628
2020-05-20 12:10:00,1,-0.0032049886525642723,-0.0017890888050792289,0.0009311025861848721,0.03162197697644535,0.0058510078661201245,0.012594956345630475,-0.0036985433692348826,0.024695626085227303,-0.008449707277985358,-0.024259045482159104,0.005558954290387154,0.009920567082306365,0.00011877920089700564,-0.016794384119496145,0.005426946431232383,-0.009743941888683834,0.023389342966141233,-0.0033335428070958217,0.006626156332368074,0.0021797289277266404,-0.06000133717014491,0.0034054185011529693,-0.010220582870576258,-0.009726275307710117,-0.0164876237600296,-0.029426272302990282,-0.0010049601528637332,0.15709303333511923,-0.018079390597926556,0.020123382935390306,0.0016330216208594566,0.03557096490304738,0.03568274938589308,-7.338297958190033e-05,0.009718539805465588,-0.0049638337519404396,-0.019077253593844736,-0.011996575739275884,0.0015778011246365042,-0.012861998266367223,0.002144199914650258,-0.001297885663891291,0.008865468674522706
2020-05-20 12:15:00,1,-0.002966755788305746,-0.0016331790278589589,0.0008770441082511858,0.029821441052733582,0.005556777850450534,0.011863293049945205,-0.0034114003186212975,0.022794807029953675,-0.008071195519615874,-0.02263208786005653,0.005233759601068249,0.009261361942022638,0.000152072889202969,-0.015925348112571965,0.0051460451950712995,-0.009116000886984596,0.02365649809290591,-0.0033108432821057528,0.006214729833017486,0.0019564880710626854,-0.057169527777103143,0.0032193529972355662,-0.010197634231799294,-0.008624993354603027,-0.015230878348589445,-0.027100732100390924,-0.0009180899010821158,0.14731489307426912,-0.01717799895927468,0.019063362851858553,0.0015876775775108753,0.03451658736913434,0.03351697863912201,-6.17145377168121e-05,0.01042775233973183,-0.0045127913515599595,-0.0177638134712265,-0.008441058175795704,0.0014945811124058696,-0.011911606110814904,0.001045255273948761,-0.0010764455831037876,0.008412459201506068
2020-05-20 12:20:00,1,-0.002714777337540953,-0.00147988087269087,0.0007899164059959944,0.02772480907892162,0.006108571795442493,0.011008380344303053,-0.0031487972531679597,0.021075131973785424,-0.007850197887854661,-0.020971128098673866,0.004787454730545848,0.008535805597148026,0.0001839881482924027,-0.014655274122984003,0.00477090442168906,-0.008354361106252916,0.023195833579355868,-0.0030644647300488185,0.005800299799612775,0.0017271122347835089,-0.050847127979587715,0.0029502616784693693,-0.009400151079226126,-0.008068199326992504,-0.013990880714578257,-0.024951714003944536,-0.0008942628474842316,0.1362027464156349,-0.01577996072635898,0.01813779481920626,0.0014240391619821304,0.03184166100337873,0.031187884309835066,-5.19354618607519e-05,0.010014659731949042,-0.003900396516499864,-0.016390725115843333,-0.007045538667917174,0.0013903338048022798,-0.011142961534243264,-5.9182195835319136e-05,-0.0008706079020623673,0.00780190822749955
2020-05-20 12:25:00,1,-0.002543500754923032,-0.001375171525757487,0.000733713443968002,0.026286481039495366,0.006657367750579046,0.010374952314544598,-0.002960628476151797,0.01980600690397369,-0.00761499024899158,-0.019738950349700392,0.004460388244838396,0.007997764617925616,0.0002127992302240196,-0.013758000300228323,0.0044938194575534825,-0.007779881721753318,0.022542468004889526,-0.00287458083376449,0.005514888063511222,0.0015710276338134466,-0.04602981552289751,0.0027854929057663925,-0.008790914583798128,-0.0076694774245049165,-0.013039227452523438,-0.023466720188237724,-0.0008739845665273724,0.12831018594247118,-0.01478614216253433,0.017155807460360904,0.0012826619236332524,0.02985291940918934,0.029455402883913434,-4.5438965316817496e-05,0.009658776028137585,-0.0034450221194554397,-0.015413971695116394,-0.00642327729678231,0.0013151630935082418,-0.010612591607295687,-0.0010651696442423046,-0.0007649469025937914,0.007365022292603459
2020-05-20 12:30:00,1,-0.002468119473964656,-0.0013223722177579055,0.000711656009396107,0.02572471365891459,0.007149536025108676,0.010046295597595631,-0.0028636357536251183,0.01910939314858175,-0.007388979230488737,-0.019153154002611233,0.004297933505636433,0.007753848496889575,0.00024332358340277372,-0.013369561014164769,0.004364003162704767,-0.00747038780437148,0.0218267968562469,-0.002765459825015394,0.005429352694475861,0.0014865134521893537,-0.04300499626393749,0.0027589855221315782,-0.008496878885831002,-0.007553715959415589,-0.0124632577167742,-0.02281463922286762,-0.000856784101859201,0.12482486254140511,-0.014308162506325913,0.016669390007872473,0.0012061511907331282,0.02909844775643969,0.028512817110368543,-4.2452297843278855e-05,0.00955262166614366,-0.0032024744251602354,-0.014991496164914825,-0.00606869188477376,0.0012811642404746458,-0.010331903694966515,-0.002025095986122712,-0.0007055302154200593,0.007181322690819957
2020-05-20 12:35:00,1,-0.002446300235683588,-0.001304905959426755,0.0007077857120872439,0.025598780865283725,0.006992152980931354,0.009866236585375842,-0.0028159769725075983,0.018695756028206407,-0.007200168657892393,-0.018964177684892343,0.0042607118490205625,0.007678862729409191,0.0002751318970314621,-0.013267330700742158,0.004300953487505755,-0.007347740836845886,0.02150722763394563,-0.0027606080964866567,0.005401777104595642,0.0014654171518134124,-0.04237621265405145,0.0028070140704574264,-0.008448605876663741,-0.007463026479255566,-0.012039433490670078,-0.02269067370498306,-0.0008165332717482006,0.1236924548604832,-0.014193478774001771,0.01647236680710933,0.001187803714090806,0.029081381658117116,0.02805880407176456,-4.185964064291783e-05,0.009453091303818204,-0.003134601351249881,-0.014837689044550021,-0.006025001382236533,0.001270186661418953,-0.010148346510610917,-0.0020510626190823017,-0.0007146306580639171,0.007114522263058229
2020-05-20 12:40:00,1,-0.0024081689795872464,-0.0012799409165819735,0.0007022751978609447,0.02529110645892529,0.006798085737650786,0.009635713081639352,-0.0027514633393930384,0.01817339878084738,-0.007025378821844598,-0.018625477470724256,0.0041906538720394276,0.007547266330323276,0.0003044799053391393,-0.013070457173405412,0.004209185604806159,-0.007181768757276388,0.021080629513031846,-0.0027481253955828322,0.005338016358869496,0.0014408652722113474,-0.04140542401141577,0.002819193454667447,-0.008348645476821166,-0.0072990086829994374,-0.0115544716568262,-0.02243155906186166,-0.0007707004618150506,0.12177946824042522,-0.01399457360948308,0.016183938014883367,0.0011447553493179083,0.02868688806530251,0.027469717159228812,-4.109872435689075e-05,0.009308850675630004,-0.003054308233814205,-0.014571227767316283,-0.005929006124859525,0.0012516528522227306,-0.00989923797741518,-0.002018636062297832,-0.0007192885633931336,0.0070000004802461225
2020-05-20 12:45:00,1,-0.0023282428168799074,-0.001232214479988702,0.0006941556525820232,0.02462475444881191,0.006519240007888958,0.00928635456996378,-0.002655332849950634,0.017411238233210127,-0.006826825051479741,-0.017948367542762855,0.004027742697686273,0.0072827605737893885,0.00032799299853670985,-0.012671840837608129,0.004049953665914743,-0.007191392765914711,0.02040768020706642,-0.002694494953559289,0.005202841005608001,0.0014014159581664837,-0.038599430578622515,0.0027432166163470755,-0.008079462110385616,-0.007010571341419145,-0.01090959109683249,-0.021821448393925292,-0.000726623050120423,0.11786863602795297,-0.013568125424253567,0.015627719172755704,0.0010336049997880263,0.027852590741694598,0.026553135177919462,-4.3544338583183736e-05,0.009033229971984363,-0.002910678641327734,-0.014016791978820792,-0.005690892112870131,0.001210995898894483,-0.009583655372501469,-0.0023011198645040347,-0.0007036534877311051,0.006783538348266115
